acronym,id,name
Fgf17,13948,fibroblast growth factor 17
Fgf18,13949,fibroblast growth factor 18
Fgf2,13950,fibroblast growth factor 2
Fgf3,13951,fibroblast growth factor 3
Fgf4,13952,fibroblast growth factor 4
Fgf5,13953,fibroblast growth factor 5
Fgf6,13954,fibroblast growth factor 6
Fgf7,13955,fibroblast growth factor 7
Fgf8,13956,fibroblast growth factor 8
Fgf9,13957,fibroblast growth factor 9
Fgfbp1,13958,fibroblast growth factor binding protein 1
Fgfr1,13959,fibroblast growth factor receptor 1
Fgfr2,13960,fibroblast growth factor receptor 2
Fgfr3,13961,fibroblast growth factor receptor 3
Fgfr4,13963,fibroblast growth factor receptor 4
Akr1b8,13964,"aldo-keto reductase family 1, member B8"
Fgl2,13967,fibrinogen-like protein 2
Fgr,13968,Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog
Fh1,13971,fumarate hydratase 1
Fhit,13975,fragile histidine triad gene
Fhl1,13976,four and a half LIM domains 1
Fhl2,13977,four and a half LIM domains 2
Fhl4,13979,four and a half LIM domains 4
Il4i1,13981,interleukin 4 induced 1
Figf,13982,c-fos induced growth factor
Ppm1g,13985,"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform"
Smc2,13988,structural maintenance of chromosomes 2
Sh3pxd2a,13995,SH3 and PX domains 2A
Ctgf,13996,connective tissue growth factor
Fjx1,13998,four jointed box 1 (Drosophila)
Fkbp1a,14002,FK506 binding protein 1a
Fkbp1b,14003,FK506 binding protein 1b
Fkbp2,14004,FK506 binding protein 2
Fkbp4,14005,FK506 binding protein 4
Fkbp5,14006,FK506 binding protein 5
Fkbp10,14007,FK506 binding protein 10
Fkbp7,14008,FK506 binding protein 7
Fkbp8,14009,FK506 binding protein 8
Foxi1,14010,forkhead box I1
Foxc2,14011,forkhead box C2
Foxm1,14012,forkhead box M1
Foxn2,14013,forkhead box N2
Foxd4,14014,forkhead box D4
Foxf2,14015,forkhead box F2
Foxs1,14016,forkhead box S1
Foxb2,14017,forkhead box B2
Foxl1,14018,forkhead box L1
Lpin1,14022,lipin 1
Fli1,14024,Friend leukemia integration 1
Flii,14025,flightless I homolog (Drosophila)
Flot1,14028,flotillin 1
Flot2,14029,flotillin 2
Flt1,14031,FMS-like tyrosine kinase 1
Flt3,14032,FMS-like tyrosine kinase 3
Flt3l,14033,FMS-like tyrosine kinase 3 ligand
Flt4,14034,FMS-like tyrosine kinase 4
Fmn1,14037,formin 1
Fmo1,14038,flavin containing monooxygenase 1
Fmo3,14039,flavin containing monooxygenase 3
Fmo5,14040,flavin containing monooxygenase 5
Fmod,14041,fibromodulin
Fmr1,14042,fragile X mental retardation syndrome 1
Aff2,14043,"AF4/FMR2 family, member 2"
Fn1,14045,fibronectin 1
Fnbp1,14046,formin binding protein 1
Srgap2,14047,SLIT-ROBO Rho GTPase activating protein 2
Fnta,14049,"farnesyltransferase, CAAX box, alpha"
Folr1,14052,folate receptor 1 (adult)
Folr2,14053,folate receptor 2 (fetal)
Fos,14058,FBJ osteosarcoma oncogene
Fosb,14059,FBJ osteosarcoma oncogene B
Fosl1,14060,fos-like antigen 1
Fosl2,14061,fos-like antigen 2
Fpgs,14063,folylpolyglutamyl synthetase
Fpr2,14065,formyl peptide receptor 2
Fpr-rs3,14066,"formyl peptide receptor, related sequence 3"
Fpr-rs4,14067,"formyl peptide receptor, related sequence 4"
Fpr1,14069,formyl peptide receptor 1
Frat1,14072,frequently rearranged in advanced T cell lymphomas
Fxn,14073,frataxin
Ncs1,14075,neuronal calcium sensor 1
Frg1,14076,FSHD region gene 1
Frk,14078,fyn-related kinase
Fshb,14084,follicle stimulating hormone beta
Fshr,14085,follicle stimulating hormone receptor
Cidec,14087,cell death-inducing DFFA-like effector c
Brd2,14088,bromodomain containing 2
Fst,14089,follistatin
Fstl1,14090,follistatin-like 1
Ftcd,14093,formiminotransferase cyclodeaminase
Fth1,14095,ferritin heavy chain 1
Aktip,14115,thymoma viral proto-oncogene 1 interacting protein
Fut1,14119,fucosyltransferase 1
Fut2,14120,fucosyltransferase 2
Fut4,14121,fucosyltransferase 4
Fut4-ps1,14122,"fucosyltransferase 4, pseudogene 1"
Fut7,14123,fucosyltransferase 7
Fut9,14124,fucosyltransferase 9
Fv1,14125,Friend virus susceptibility 1
Timm10b,14132,translocase of inner mitochondrial membrane 10B
Dtx1,14133,deltex 1 homolog (Drosophila)
Fxr1,14135,"fragile X mental retardation gene 1, autosomal homolog"
Fyn,14136,Fyn proto-oncogene
Fzd1,14138,frizzled homolog 1 (Drosophila)
Fzd3,14141,frizzled homolog 3 (Drosophila)
Fzd4,14142,frizzled homolog 4 (Drosophila)
Fzd5,14143,frizzled homolog 5 (Drosophila)
Fzd6,14144,frizzled homolog 6 (Drosophila)
Fzd7,14145,frizzled homolog 7 (Drosophila)
Fzd8,14146,frizzled homolog 8 (Drosophila)
Fzd9,14147,frizzled homolog 9 (Drosophila)
G0s2,14149,G0/G1 switch gene 2
Xrcc6,14151,X-ray repair complementing defective repair in Chinese hamster cells 6
Ganab,14152,alpha glucosidase 2 alpha neutral subunit
G6pc,14153,"glucose-6-phosphatase, catalytic"
G6pc2,14154,"glucose-6-phosphatase, catalytic, 2"
G6pdx,14157,glucose-6-phosphate dehydrogenase X-linked
Slc37a4,14161,"solute carrier family 37 (glucose-6-phosphate transporter), member 4"
Gaa,14163,"glucosidase, alpha, acid"
Gab1,14164,growth factor receptor bound protein 2-associated protein 1
Gab2,14165,growth factor receptor bound protein 2-associated protein 2
Gabpa,14166,"GA repeat binding protein, alpha"
Gabpb1,14167,"GA repeat binding protein, beta 1"
Gabra1,14170,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1"
Gabra2,14171,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
Gabra3,14172,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3"
Gabra4,14173,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4"
Gabra6,14175,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6"
Gabrb1,14176,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1"
Gabrb2,14177,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2"
Gabrb3,14178,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3"
Gabrd,14179,"gamma-aminobutyric acid (GABA) A receptor, subunit delta"
Gabre,14180,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon"
Gabrg1,14181,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1"
Gabrg2,14182,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2"
Gabrg3,14183,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3"
Gabrr1,14184,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 1"
Gabrr2,14185,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2"
Slc6a12,14187,"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12"
Slc6a13,14188,"solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
Gad1,14191,glutamate decarboxylase 1
Gad2,14193,glutamic acid decarboxylase 2
Gal,14195,galanin
Galc,14196,galactosylceramidase
B4galnt2,14198,"beta-1,4-N-acetyl-galactosaminyl transferase 2"
Galnt1,14199,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1
Galnt3,14201,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3
Galnt4,14202,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4
Galr1,14203,galanin receptor 1
Galr2,14204,galanin receptor 2
Galr3,14205,galanin receptor 3
Galt,14206,galactose-1-phosphate uridyl transferase
Gamt,14207,guanidinoacetate methyltransferase
Gap43,14208,growth associated protein 43
Gapdhs,14223,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
Gart,14226,phosphoribosylglycinamide formyltransferase
Gas1,14227,growth arrest specific 1
Gas2,14229,growth arrest specific 2
Gas5,14231,growth arrest specific 5
Gas6,14232,growth arrest specific 6
Gas7,14233,growth arrest specific 7
Gast,14235,gastrin
Gata1,14236,GATA binding protein 1
Gata2,14237,GATA binding protein 2
Gata3,14238,GATA binding protein 3
Gata4,14239,GATA binding protein 4
Gata5,14240,GATA binding protein 5
Gata6,14241,GATA binding protein 6
Gba,14242,"glucosidase, beta, acid"
Gbas,14243,glioblastoma amplified sequence
Gbp2b,14244,guanylate binding protein 2b
Gbp2,14245,guanylate binding protein 2
Rabac1,14246,Rab acceptor 1 (prenylated)
Gbx2,14248,gastrulation brain homeobox 2
Gc,14249,group specific component
Usp15,14255,ubiquitin specific peptidase 15
Mtpn,14265,myotrophin
Gcsam,14301,"germinal center associated, signaling and motility"
Gcg,14302,glucagon
Gcgr,14303,glucagon receptor
Gch1,14304,GTP cyclohydrolase 1
Gcm1,14307,glial cells missing homolog 1 (Drosophila)
Bloc1s1,14309,"biogenesis of lysosomal organelles complex-1, subunit 1"
Kat2a,14310,K(lysine) acetyltransferase 2A
Nr6a1,14312,"nuclear receptor subfamily 6, group A, member 1"
Gcnt1,14313,"glucosaminyl (N-acetyl) transferase 1, core 2"
Gcnt2,14314,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"
Opn1mw,14315,"opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan)"
Gda,14320,guanine deaminase
Gdap1,14321,ganglioside-induced differentiation-associated-protein 1
Gdap10,14322,ganglioside-induced differentiation-associated-protein 10
Gdap2,14323,ganglioside-induced differentiation-associated-protein 2
Mrps33,14324,mitochondrial ribosomal protein S33
Gpd1,14331,glycerol-3-phosphate dehydrogenase 1 (soluble)
Gdf1,14335,growth differentiation factor 1
Gdf10,14336,growth differentiation factor 10
Gdf11,14337,growth differentiation factor 11
Gdf3,14338,growth differentiation factor 3
Gdf5,14339,growth differentiation factor 5
Gdf9,14342,growth differentiation factor 9
Gdi1,14343,guanosine diphosphate (GDP) dissociation inhibitor 1
Gdi2,14345,guanosine diphosphate (GDP) dissociation inhibitor 2
Arhgdig,14346,Rho GDP dissociation inhibitor (GDI) gamma
Gpd2,14347,"glycerol phosphate dehydrogenase 2, mitochondrial"
Gdnf,14349,glial cell line derived neurotrophic factor
Gem,14355,GTP binding protein (gene overexpressed in skeletal muscle)
Gfap,14356,glial fibrillary acidic protein
Gfi1,14357,growth factor independent 1
Gfi1b,14358,growth factor independent 1B
Gfpt1,14359,glutamine fructose-6-phosphate transaminase 1
Gfpt2,14360,glutamine fructose-6-phosphate transaminase 2
Gfra1,14361,glial cell line derived neurotrophic factor family receptor alpha 1
Gfra2,14362,glial cell line derived neurotrophic factor family receptor alpha 2
Gfra3,14363,glial cell line derived neurotrophic factor family receptor alpha 3
Gfra4,14364,glial cell line derived neurotrophic factor family receptor alpha 4
Ggh,14366,gamma-glutamyl hydrolase
Ggps1,14369,geranylgeranyl diphosphate synthase 1
Ggta1,14370,"glycoprotein galactosyltransferase alpha 1, 3"
B4galt1,14371,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"
Ggt1,14374,gamma-glutamyltransferase 1
Gh,14375,growth hormone
Ghr,14376,growth hormone receptor
Ghrh,14377,growth hormone releasing hormone
Ghrhr,14378,growth hormone releasing hormone receptor
Gif,14379,gastric intrinsic factor
Tsc22d3,14381,"TSC22 domain family, member 3"
Gip,14383,gastric inhibitory polypeptide
Gpr83,14384,G protein-coupled receptor 83
Gja1,14385,"gap junction protein, alpha 1"
Gja10,14386,"gap junction protein, alpha 10"
Gja3,14387,"gap junction protein, alpha 3"
Gja4,14388,"gap junction protein, alpha 4"
Gja5,14389,"gap junction protein, alpha 5"
Gjc1,14391,"gap junction protein, gamma 1"
Gja8,14392,"gap junction protein, alpha 8"
Gjd2,14393,"gap junction protein, delta 2"
Gjb1,14394,"gap junction protein, beta 1"
Gjb2,14395,"gap junction protein, beta 2"
Gjb3,14396,"gap junction protein, beta 3"
Gjb4,14397,"gap junction protein, beta 4"
Gjb5,14398,"gap junction protein, beta 5"
Gjb6,14399,"gap junction protein, beta 6"
Gykl1,14401,glycerol kinase-like 1
Gk2,14402,glycerol kinase 2
Ostm1,14404,osteopetrosis associated transmembrane protein 1
Gclc,14405,"glutamate-cysteine ligase, catalytic subunit"
Gclm,14406,"glutamate-cysteine ligase, modifier subunit"
Gli1,14408,GLI-Kruppel family member GLI1
Gli2,14409,GLI-Kruppel family member GLI2
Gli3,14410,GLI-Kruppel family member GLI3
Galk1,14411,galactokinase 1
Glul,14421,glutamate-ammonia ligase (glutamine synthetase)
Hagh,14427,hydroxyacyl glutathione hydrolase
Glp1r,14428,glucagon-like peptide 1 receptor
Glra1,14430,"glycine receptor, alpha 1 subunit"
Glra4,14433,"glycine receptor, alpha 4 subunit"
Glrb,14434,"glycine receptor, beta subunit"
Glrp1,14435,glutamine repeat protein 1
Gls,14436,glutaminase
Glud1,14437,glutamate dehydrogenase 1
Glycam1,14439,glycosylation dependent cell adhesion molecule 1
Slc6a9,14440,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9"
Gm2a,14443,GM2 ganglioside activator protein
Gnl1,14446,guanine nucleotide binding protein-like 1
Gna12,14449,"guanine nucleotide binding protein, alpha 12"
Gna13,14450,"guanine nucleotide binding protein, alpha 13"
Gna14,14451,"guanine nucleotide binding protein, alpha 14"
Gna15,14452,"guanine nucleotide binding protein, alpha 15"
Gnai1,14453,"guanine nucleotide binding protein (G protein), alpha inhibiting 1"
Gnai2,14454,"guanine nucleotide binding protein (G protein), alpha inhibiting 2"
Gnai3,14455,"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
Gnal,14456,"guanine nucleotide binding protein, alpha stimulating, olfactory type"
Gnao1,14457,"guanine nucleotide binding protein, alpha O"
Gnaq,14458,"guanine nucleotide binding protein, alpha q polypeptide"
Gnas,14459,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
Gnat1,14461,"guanine nucleotide binding protein, alpha transducing 1"
Gnat2,14462,"guanine nucleotide binding protein, alpha transducing 2"
Gnaz,14463,"guanine nucleotide binding protein, alpha z subunit"
Gnb1,14464,"guanine nucleotide binding protein (G protein), beta 1"
Gnb2,14469,"guanine nucleotide binding protein (G protein), beta 2"
Gnb2l1,14470,"guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1"
Gnb3,14471,"guanine nucleotide binding protein (G protein), beta 3"
Gnb4,14472,"guanine nucleotide binding protein (G protein), beta 4"
Gnb5,14473,"guanine nucleotide binding protein (G protein), beta 5"
Gngt1,14475,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1"
Gng10,14476,"guanine nucleotide binding protein (G protein), gamma 10"
Gng12,14477,"guanine nucleotide binding protein (G protein), gamma 12"
Gng2,14478,"guanine nucleotide binding protein (G protein), gamma 2"
Gng3,14480,"guanine nucleotide binding protein (G protein), gamma 3"
Bscl2,14481,Berardinelli-Seip congenital lipodystrophy 2 homolog (seipin)
Gng4,14482,"guanine nucleotide binding protein (G protein), gamma 4"
Gng5,14483,"guanine nucleotide binding protein (G protein), gamma 5"
Gng7,14484,"guanine nucleotide binding protein (G protein), gamma 7"
Gngt2,14486,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2"
Gnmt,14487,glycine N-methyltransferase
Gnpat,14488,glyceronephosphate O-acyltransferase
Gnrh1,14490,gonadotropin releasing hormone 1
Gnrhr,14491,gonadotropin releasing hormone receptor
Got1,14494,"glutamic-oxaloacetic transaminase 1, soluble"
Got2,14495,"glutamatic-oxaloacetic transaminase 2, mitochondrial"
Gp1ba,14499,"glycoprotein 1b, alpha polypeptide"
Gp1bb,14500,"glycoprotein Ib, beta polypeptide"
Lrp2,14501,low density lipoprotein receptor-related protein 2
Pdpn,14502,podoplanin
Gp49a,14503,glycoprotein 49 A
Lilrb4,14504,"leukocyte immunoglobulin-like receptor, subfamily B, member 4"
Gpaa1,14507,GPI anchor attachment protein 1
Gpam,14508,"glycerol-3-phosphate acyltransferase, mitochondrial"
Gpc1,14509,glypican 1
Gpc3,14510,glypican 3
Gpc4,14511,glypican 4
Gpr12,14514,G-protein coupled receptor 12
S1pr2,14515,sphingosine-1-phosphate receptor 2
Gpr65,14520,G-protein coupled receptor 65
Lpar1,14521,lysophosphatidic acid receptor 1
Cmklr1,14523,chemokine-like receptor 1
Gpr3,14524,G-protein coupled receptor 3
Gpi1,14527,glucose phosphate isomerase 1
Pigq,14531,"phosphatidylinositol glycan anchor biosynthesis, class Q"
Gpld1,14532,glycosylphosphatidylinositol specific phospholipase D1
Gpm6b,14534,glycoprotein m6b
Gpr19,14536,G protein-coupled receptor 19
Gpr33,14538,G protein-coupled receptor 33
Gpr37,14539,G protein-coupled receptor 37
Ptgdr2,14540,prostaglandin D2 receptor 2
Gpr50,14541,G-protein-coupled receptor 50
Gpr56,14542,G protein-coupled receptor 56
Nmur1,14543,neuromedin U receptor 1
Lancl1,14544,LanC (bacterial lantibiotic synthetase component C)-like 1
Grk4,14548,G protein-coupled receptor kinase 4
Grk5,14549,G protein-coupled receptor kinase 5
Gpx1,14551,glutathione peroxidase 1
Gpx2,14552,glutathione peroxidase 2
Gpx3,14554,glutathione peroxidase 3
Gpx5,14556,glutathione peroxidase 5
Gsr,14558,glutathione reductase
Grb10,14559,growth factor receptor bound protein 10
Grb2,14560,growth factor receptor bound protein 2
Grb7,14562,growth factor receptor bound protein 7
Rhpn1,14563,"rhophilin, Rho GTPase binding protein 1"
Gpr162,14564,G protein-coupled receptor 162
P3h3,14565,prolyl 3-hydroxylase 3
Grcc10,14566,"gene rich cluster, C10 gene"
Emg1,14567,EMG1 nucleolar protein homolog (S. cerevisiae)
Lpcat3,14568,lysophosphatidylcholine acyltransferase 3
Cdca3,14569,cell division cycle associated 3
Spsb2,14570,splA/ryanodine receptor domain and SOCS box containing 2
Aes,14573,amino-terminal enhancer of split
Gria1,14575,"glutamate receptor, ionotropic, AMPA1 (alpha 1)"
Gria2,14576,"glutamate receptor, ionotropic, AMPA2 (alpha 2)"
Gria4,14578,"glutamate receptor, ionotropic, AMPA4 (alpha 4)"
Grid1,14579,"glutamate receptor, ionotropic, delta 1"
Grid2,14580,"glutamate receptor, ionotropic, delta 2"
Grik1,14581,"glutamate receptor, ionotropic, kainate 1"
Grik2,14582,"glutamate receptor, ionotropic, kainate 2 (beta 2)"
Grik3,14583,"glutamate receptor, ionotropic, kainate 3"
Grik5,14585,"glutamate receptor, ionotropic, kainate 5 (gamma 2)"
Grin1,14586,"glutamate receptor, ionotropic, NMDA1 (zeta 1)"
Grin2a,14587,"glutamate receptor, ionotropic, NMDA2A (epsilon 1)"
Grin2b,14588,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)"
Grin2c,14589,"glutamate receptor, ionotropic, NMDA2C (epsilon 3)"
Grin2d,14590,"glutamate receptor, ionotropic, NMDA2D (epsilon 4)"
Nr3c1,14591,"nuclear receptor subfamily 3, group C, member 1"
Grm1,14592,"glutamate receptor, metabotropic 1"
Grm8,14599,"glutamate receptor, metabotropic 8"
Grn,14600,granulin
Cxcl1,14601,chemokine (C-X-C motif) ligand 1
Pdia3,14603,protein disulfide isomerase associated 3
Hspa5,14604,heat shock protein 5
Grpr,14605,gastrin releasing peptide receptor
Gsc,14612,goosecoid homeobox
Gsg1,14616,germ cell-specific gene 1
Gsg2,14617,germ cell-specific gene 2
Gsx1,14618,GS homeobox 1
Gsx2,14619,GS homeobox 2
Gspt1,14628,G1 to S phase transition 1
Gspt2,14629,G1 to S phase transition 2
Gss,14630,glutathione synthetase
Gsta3,14635,"glutathione S-transferase, alpha 3"
Gsta4,14636,"glutathione S-transferase, alpha 4"
Gstm1,14638,"glutathione S-transferase, mu 1"
Gstm2,14639,"glutathione S-transferase, mu 2"
Gstm3,14640,"glutathione S-transferase, mu 3"
Gstm4,14641,"glutathione S-transferase, mu 4"
Gstm5,14642,"glutathione S-transferase, mu 5"
Gstm6,14643,"glutathione S-transferase, mu 6"
Gstp1,14646,"glutathione S-transferase, pi 1"
Gstt1,14647,"glutathione S-transferase, theta 1"
Gstt2,14648,"glutathione S-transferase, theta 2"
Gsto1,14649,glutathione S-transferase omega 1
Gstz1,14650,glutathione transferase zeta 1 (maleylacetoacetate isomerase)
Gtf2h1,14660,"general transcription factor II H, polypeptide 1"
Gtf2h4,14661,"general transcription factor II H, polypeptide 4"
Gtf2i,14662,general transcription factor II I
Cfap20,14670,cilia and flagella associated protein 20
Trip12,14673,thyroid hormone receptor interactor 12
Gtpbp1,14680,GTP binding protein 1
Gt(ROSA)26Sor,14686,"gene trap ROSA 26, Philippe Soriano"
Nkx6-2,14688,NK6 homeobox 2
Guca1a,14689,guanylate cyclase activator 1a (retina)
Guca2a,14691,guanylate cyclase activator 2a (guanylin)
Guca2b,14692,guanylate cyclase activator 2b (retina)
Gucy2c,14693,guanylate cyclase 2c
Gucy2e,14695,guanylate cyclase 2e
Guk1,14699,guanylate kinase 1
Magi1,14700,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
Gyk,14709,glycerol kinase
Gypa,14710,glycophorin A
Gys1,14712,"glycogen synthase 1, muscle"
Gzma,14714,granzyme A
Gzmb,14715,granzyme B
Gzmf,14719,granzyme F
Gzmk,14721,granzyme K
H13,14726,histocompatibility 13
H19,14731,"H19, imprinted maternally expressed transcript"
Hist1h1d,14733,"histone cluster 1, H1d"
H1f0,14734,"H1 histone family, member 0"
H2-Aa,14736,"histocompatibility 2, class II antigen A, alpha"
H2-Ab1,14737,"histocompatibility 2, class II antigen A, beta 1"
Cfb,14738,complement factor B
H2-Bl,14739,"histocompatibility 2, blastocyst"
H2-D1,14740,"histocompatibility 2, D region locus 1"
H2-Ea-ps,14744,"histocompatibility 2, class II antigen E alpha, pseudogene"
H2-Eb1,14745,"histocompatibility 2, class II antigen E beta"
Pfdn6,14752,prefoldin subunit 6
Slc39a7,14753,"solute carrier family 39 (zinc transporter), member 7"
H2-Ke6,14755,H2-K region expressed gene 6
H2-M10.1,14761,"histocompatibility 2, M region locus 10.1"
H2-M2,14766,"histocompatibility 2, M region locus 2"
H2-M3,14767,"histocompatibility 2, M region locus 3"
H2-M9,14773,"histocompatibility 2, M region locus 9"
H2-DMa,14774,"histocompatibility 2, class II, locus DMa"
H2-DMb1,14775,"histocompatibility 2, class II, locus Mb1"
H2-DMb2,14776,"histocompatibility 2, class II, locus Mb2"
H2-Oa,14777,"histocompatibility 2, O region alpha locus"
H2-Ob,14778,"histocompatibility 2, O region beta locus"
H2-Q10,14783,"histocompatibility 2, Q region locus 10"
H2-Q8,14795,"histocompatibility 2, Q region locus 8"
H2-T10,14800,"histocompatibility 2, T region locus 10"
H2-T22,14815,"histocompatibility 2, T region locus 22"
H2-T23,14816,"histocompatibility 2, T region locus 23"
H2-T24,14818,"histocompatibility 2, T region locus 24"
H2-T3,14819,"histocompatibility 2, T region locus 3"
Ifi44l,14837,interferon-induced protein 44 like
Mr1,14840,"major histocompatibility complex, class I-related"
H3f3a,14854,"H3 histone, family 3A"
H3f3b,14857,"H3 histone, family 3B"
H60a,14877,histocompatibility 60a
Hadh,14883,hydroxyacyl-Coenzyme A dehydrogenase
Hsd17b10,14884,hydroxysteroid (17-beta) dehydrogenase 10
Hal,14885,histidine ammonia lyase
Hand1,14886,heart and neural crest derivatives expressed transcript 1
Hao1,14888,"hydroxyacid oxidase 1, liver"
Hap1,14890,huntingtin-associated protein 1
Hars,14891,histidyl-tRNA synthetase
Has1,14892,hyaluronan synthase1
Has2,14893,hyaluronan synthase 2
Has3,14894,hyaluronan synthase 3
Hba-a1,14898,"hemoglobin alpha, adult chain 1"
Hbb,14903,hemoglobin beta chain complex
Hbb-b1,14905,"hemoglobin, beta adult major chain"
Hbb-b2,14906,"hemoglobin, beta adult minor chain"
Hbb-bh1,14908,"hemoglobin Z, beta-like embryonic chain"
Hbb-y,14911,"hemoglobin Y, beta-like embryonic chain"
Hc,14915,hemolytic complement
Hccs,14935,holocytochrome c synthetase
Serpind1,14936,"serine (or cysteine) peptidase inhibitor, clade D, member 1"
Hcfc1,14937,host cell factor C1
Hck,14938,hemopoietic cell kinase
Hcls1,14939,hematopoietic cell specific Lyn substrate 1
Hcn1,14941,"hyperpolarization-activated, cyclic nucleotide-gated K+ 1"
Hcn2,14942,"hyperpolarization-activated, cyclic nucleotide-gated K+ 2"
Hcn3,14944,"hyperpolarization-activated, cyclic nucleotide-gated K+ 3"
Ptpn6,14946,"protein tyrosine phosphatase, non-receptor type 6"
Hcrt,14947,hypocretin
Hdac2,14958,histone deacetylase 2
Hdac3,14959,histone deacetylase 3
Hdac5,14960,histone deacetylase 5
Hdac6,14961,histone deacetylase 6
Hdc,14962,histidine decarboxylase
Hdgf,14967,hepatoma-derived growth factor
Hdgfl1,14968,hepatoma derived growth factor-like 1
Hdgfrp2,14969,"hepatoma-derived growth factor, related protein 2"
Htt,14970,huntingtin
Hebp1,14975,heme binding protein 1
Hbegf,14976,heparin-binding EGF-like growth factor
Hemt1,14978,hematopoietic cell transcript 1
Heph,14979,hephaestin
Herc2,14980,hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 2
Hes1,14981,hairy and enhancer of split 1 (Drosophila)
Hes2,14982,hairy and enhancer of split 2 (Drosophila)
Hes3,14983,hairy and enhancer of split 3 (Drosophila)
Hes5,14984,hairy and enhancer of split 5 (Drosophila)
Hesx1,14985,homeobox gene expressed in ES cells
Hexa,14987,hexosaminidase A
Hexb,14988,hexosaminidase B
Hey1,14989,hairy/enhancer-of-split related with YRPW motif 1
Hey2,14990,hairy/enhancer-of-split related with YRPW motif 2
Hfe,14992,hemochromatosis
Foxn1,14994,forkhead box N1
Foxq1,14996,forkhead box Q1
Foxd3,14997,forkhead box D3
Foxj1,14999,forkhead box J1
Foxf1,15003,forkhead box F1
Foxg1,15004,forkhead box G1
Foxd1,15005,forkhead box D1
Hgd,15009,"homogentisate 1, 2-dioxygenase"
Hgf,15010,hepatocyte growth factor
Mst1,15011,macrophage stimulating 1 (hepatocyte growth factor-like)
Hgs,15015,HGF-regulated tyrosine kinase substrate
Hhex,15018,hematopoietically expressed homeobox
Hhip,15021,Hedgehog-interacting protein
Hiat1,15023,hippocampus abundant gene transcript 1
Hic1,15024,hypermethylated in cancer 1
Hif1a,15027,"hypoxia inducible factor 1, alpha subunit"
Hint1,15030,histidine triad nucleotide binding protein 1
Hipk1,15033,homeodomain interacting protein kinase 1
Hipk2,15034,homeodomain interacting protein kinase 2
Hipk3,15035,homeodomain interacting protein kinase 3
Hira,15036,histone cell cycle regulation defective homolog A (S. cerevisiae)
Hist2h2aa1,15042,"histone cluster 2, H2aa1"
H2afx,15045,"H2A histone family, member X"
Hivep2,15048,human immunodeficiency virus type I enhancer binding protein 2
Hk1,15050,hexokinase 1
Hk2,15052,hexokinase 2
Hlx,15059,H2.0-like homeobox
Mnx1,15060,motor neuron and pancreas homeobox 1
Hmbs,15063,hydroxymethylbilane synthase
Hmgb1,15064,high mobility group box 1
Hmgn1,15087,high mobility group nucleosomal binding domain 1
Hmgn2,15106,high mobility group nucleosomal binding domain 2
Hmg20b,15128,high mobility group 20B
Hmgb3,15129,high mobility group box 3
Hmgcl,15131,3-hydroxy-3-methylglutaryl-Coenzyme A lyase
Hmgcr,15132,3-hydroxy-3-methylglutaryl-Coenzyme A reductase
Hmgcs2,15135,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2
Hmga1,15136,high mobility group AT-hook 1
Hmga2,15139,high mobility group AT-hook 2
Hmmr,15141,hyaluronan mediated motility receptor (RHAMM)
Hmox1,15143,heme oxygenase (decycling) 1
Hmox2,15144,heme oxygenase (decycling) 2
